gene_id	KO1CT	KO1G	KO1NH	KO1NL	KO2CT	KO2G	KO2NH	KO2NL	KO3CT	KO3G	KO3NH	KO3NL	WT1CT	WT1G	WT1NH	WT1NL	WT2CT	WT2G	WT2NH	WT2NL	WT3CT	WT3G	WT3NH	WT3NL
Nphs2	0	0	0	0	4	0	0	0	0	0	0	2	2	0	0	0	4	2	0	0	0	0	0	0
Nphs1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gjd4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gjd3	24	36	43	20	29	59	56	21	22	47	57	35	17	49	37	32	18	54	34	34	11	62	39	25
Gjd2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm41181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm41183	0	2	0	2	0	4	3	0	0	2	0	0	0	6	6	0	0	4	6	0	2	6	7	4
Gm41182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Gm41184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm41189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm41188	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AW551984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspbp1	1059	1823	3157	1306	907	1804	3107	1397	950	2120	3595	1433	1122	2713	3552	1823	997	2606	3189	1949	817	2784	3417	2149
Cts8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpa1	3948	2876	1015	3160	4215	3051	1116	3446	3984	2944	1167	3489	4179	1519	933	2274	4398	1645	1071	2094	4386	1540	1068	2207
Rpa3	153	153	98	200	116	166	128	196	128	172	159	205	134	144	175	134	117	166	127	138	107	123	142	165
Rpa2	1044	896	745	824	1143	930	772	852	1125	966	776	866	1243	817	830	795	1195	902	896	719	1174	811	749	753
Dnali1	0	1	2	2	0	2	6	9	0	0	3	0	0	4	2	4	2	7	7	5	0	5	3	0
Gm47922	28	8	4	13	47	14	2	19	38	8	1	14	26	0	0	11	27	3	1	3	27	0	0	8
E130307A14Rik	203	268	114	261	219	263	126	291	205	305	126	302	142	190	81	242	148	213	75	184	143	219	89	254
Ift27	266	125	72	144	199	152	79	166	247	142	76	149	236	144	85	139	257	91	46	146	200	139	65	169
Ift20	257	469	403	420	237	527	358	505	260	516	456	406	367	540	668	523	384	615	544	449	331	587	594	598
Ift22	34	39	36	53	23	34	38	52	32	38	33	55	63	32	34	40	51	29	13	47	39	27	29	60
Gm41459	0	0	2	0	0	0	2	0	0	2	6	0	0	2	3	0	0	2	0	0	2	4	0	0
Gm41458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yipf1	415	528	226	544	358	484	231	533	462	571	270	529	498	373	282	516	466	438	281	477	426	373	260	569
Gm41452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm41451	0	0	5	0	0	2	0	0	0	0	1	0	0	0	0	3	0	2	0	0	0	0	3	0
Yipf2	280	611	588	440	270	545	637	427	269	450	651	400	306	775	603	615	301	563	727	549	340	628	597	429
Yipf5	1217	1374	1398	1213	1090	1284	1256	1338	1268	1389	1333	1351	1447	1241	1413	1155	1233	1299	1248	1367	1148	1200	1385	1428
Yipf4	1407	993	622	1314	1354	1141	700	1358	1369	1043	592	1280	1747	713	651	943	1589	815	636	829	1488	853	666	1026
Yipf7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Yipf6	678	1020	1505	953	642	1044	1540	1016	644	1073	1509	1109	496	1117	1570	1296	619	1061	1417	1057	679	1210	1564	1011
Cts3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6030407O03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cts6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat8f6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cts7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat8f5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmd6	1148	1489	2002	1121	1336	1608	2091	1242	1281	1713	2295	1339	1565	1975	2680	1554	1402	1985	2366	1458	1284	2174	2757	1662
Psmd1	1818	3764	6572	2804	1773	3862	6371	3083	1869	4099	7466	3113	2457	5811	8249	4444	2293	5885	8142	4543	2112	5948	8789	4161
Gm51557	49	124	31	127	81	109	30	170	129	16	25	176	66	56	21	100	102	60	23	77	91	66	18	109
Gm51556	209	143	44	245	189	113	37	194	191	116	45	186	173	73	53	114	205	73	36	106	166	55	40	128
Gm51555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm51554	40	20	2	15	39	18	3	30	54	17	7	19	26	15	15	21	34	15	9	14	44	9	7	7
Gm51553	0	4	4	2	0	4	5	3	0	2	7	0	0	4	8	4	0	7	2	3	0	3	7	2
Gm51552	1	0	0	0	3	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Gm51551	30	21	28	22	28	19	16	27	18	19	30	19	17	15	17	13	17	17	20	22	23	18	13	16
Gm51550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Skor2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm51559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skor1	44	3	0	1	25	5	2	0	39	0	3	3	20	3	6	8	35	4	6	4	37	8	4	0
Gm15564	37	26	14	33	37	18	12	0	9	8	0	28	35	16	3	46	33	17	23	11	41	3	19	15
Parpbp	25	12	8	29	13	10	19	38	20	11	14	33	12	10	2	20	19	9	4	29	13	12	8	15
Gm15569	0	0	0	0	0	2	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Zfp873	73	69	40	62	45	75	37	79	60	81	42	92	65	64	40	63	37	51	43	42	60	40	58	65
Zfp872	0	0	0	0	0	0	0	0	0	3	2	0	0	0	1	2	0	0	0	0	0	2	0	0
Zfp871	5935	4093	2448	4393	4920	3938	2252	4711	5679	3336	2267	5156	3992	2454	1925	3731	4911	2468	1907	3021	5227	2359	1958	3356
Zfp870	9	10	10	14	5	8	12	6	13	7	29	7	12	8	13	8	11	3	12	13	16	5	16	7
Abca8b	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3
Abca8a	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
4631405J19Rik	4	4	5	4	9	4	9	5	10	5	8	3	6	6	6	0	0	6	10	2	8	4	7	6
Zfp879	15	13	0	18	16	15	5	23	10	18	7	17	27	4	14	11	19	12	6	8	38	4	4	10
Nradd	26	21	18	22	28	25	15	34	33	29	34	34	21	36	29	31	24	22	36	21	26	31	37	33
Gm39165	5	12	19	6	4	9	11	5	3	4	14	4	0	6	10	8	0	7	8	10	0	3	9	0
Gm11992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifrd2	329	3464	6746	2102	300	3499	6812	2269	405	3851	7442	2218	413	6056	7321	3985	351	5718	7159	4328	387	6154	7381	3686
Gm11999	5	11	4	5	8	10	4	7	10	7	5	9	8	12	5	7	4	7	5	6	10	16	6	5
Gm11998	41	22	24	29	39	26	19	32	31	22	19	20	31	20	24	20	43	17	10	23	22	14	19	24
Loxhd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Ccr1	2	2	5	5	0	6	3	9	4	11	6	5	9	2	16	12	9	4	18	12	12	0	21	3
Ccr2	51	90	46	128	81	75	35	110	66	93	48	128	75	60	40	83	43	108	54	78	44	85	90	94
Ccr3	7	0	12	3	6	0	0	0	7	0	3	3	30	4	5	6	15	5	3	0	17	0	11	2
Ccr4	42	114	130	62	31	152	218	112	55	174	107	89	59	97	93	92	60	59	78	56	32	90	84	45
Ccr5	126	154	300	204	119	154	302	151	150	108	246	188	101	166	432	273	124	472	1202	496	103	159	920	201
Ccr6	19	12	2	36	44	27	10	14	25	16	11	28	49	8	12	18	39	17	15	7	25	21	11	16
Ccr7	50075	42874	13690	31392	37114	41688	15866	30228	45431	41478	14000	31070	48394	32724	17905	17068	43095	32025	13471	13932	39406	35258	15181	22028
Ccr8	9	14	123	44	10	14	141	31	8	7	148	30	9	20	54	23	15	7	72	20	6	25	73	40
Ccr9	1844	2216	398	2200	1677	2602	433	2906	2523	2632	430	2644	2595	862	200	1586	2383	525	140	934	1833	705	170	1546
Prickle1	348	212	114	201	431	211	145	242	415	232	142	225	452	280	173	173	405	173	143	113	436	228	184	127
Prickle2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prickle3	905	824	293	917	717	926	335	1131	744	781	320	920	641	603	355	932	688	637	291	683	737	499	311	844
Prickle4	4	5	5	6	7	3	3	6	7	10	4	4	8	2	3	8	5	4	9	2	13	6	4	8
Vcan	2	6	12	26	5	7	7	26	17	11	4	27	5	17	4	33	9	11	6	0	4	0	11	6
Isg15	229	355	802	343	180	351	625	339	230	269	569	411	385	493	825	759	357	546	526	649	371	542	660	744
Gm33609	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Rictor	13441	8708	4915	7729	15389	8146	5348	8410	13664	6905	4452	8977	8101	6589	3763	7732	12153	6209	4086	6305	14650	6556	4476	6386
Zfp28	120	219	47	208	93	211	40	235	129	212	69	254	144	124	103	239	115	141	95	146	143	115	82	202
Zfp27	258	303	318	257	304	357	323	331	292	353	281	317	268	293	317	276	287	297	332	271	231	266	316	313
Zfp26	2093	1376	1393	1219	2289	1472	1229	1399	2188	1244	1236	1419	1715	1161	1191	1371	1645	1230	1195	1124	1996	1229	1303	1101
Zfp24	1420	1184	855	1266	1489	1316	939	1460	1536	1127	866	1583	1798	1136	1007	1330	2026	1077	1018	1182	2001	1025	1096	1157
Itpripl2	18	14	15	26	27	11	13	14	9	14	16	14	60	19	32	37	53	21	26	21	26	18	41	6
Nlgn2	76	337	534	223	98	407	612	255	76	355	583	209	120	650	718	319	120	608	710	397	155	570	754	362
Nlgn3	131	45	44	50	203	53	34	80	97	52	55	67	55	49	30	55	65	34	42	54	84	43	39	41
Nlgn1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Cybc1	1534	2340	1064	2669	1232	2471	1065	2749	1442	2485	1203	2879	1460	1499	1034	2127	1472	1606	1132	1957	1475	1477	1099	2067
Gm6882	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr35	30	29	24	20	46	20	15	19	36	17	28	27	32	13	12	29	44	17	17	24	46	26	17	12
Wdr34	50	103	142	81	60	95	148	68	32	112	132	94	70	122	149	98	48	133	116	98	41	155	142	76
Wdr37	2847	2178	908	2461	2888	2211	840	2588	2874	1890	775	2754	2259	1454	838	1982	2341	1483	788	2043	2554	1513	856	1976
Wdr36	2535	4145	6639	2812	2586	4324	6912	3311	2404	4347	7515	3338	2476	6329	6990	4869	2398	6026	7183	4496	2401	6511	7699	3971
Wdr31	0	0	2	0	2	2	3	2	2	4	3	4	0	4	3	0	0	2	5	3	3	3	4	5
Wdr33	2910	2584	2864	2575	2243	2796	2829	2805	2850	2667	3283	2967	3125	3053	3309	2876	3282	3120	3324	2819	3250	2861	3314	2841
C630028M04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr38	2	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Vwa8	839	580	518	503	712	547	547	521	829	471	586	611	463	389	335	375	562	483	352	399	672	475	375	402
Vwa7	27	27	21	38	32	32	22	49	17	32	17	44	11	26	23	35	15	17	32	24	21	27	25	41
Vwa2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vwa1	2	2	3	0	0	0	0	2	4	2	2	4	2	0	0	2	8	2	10	6	2	2	3	2
Smarcc1	1834	3952	6136	2706	1661	4010	6167	3031	1872	4004	6657	3019	2075	5813	7012	4346	2163	5687	6894	4219	2052	5892	7443	3611
Ptch2	2	4	3	0	0	4	7	4	6	6	11	0	0	6	4	0	0	13	5	4	6	5	8	5
Ptch1	832	1784	645	1481	806	1744	722	1592	990	1428	680	1631	862	1203	609	1220	1006	1216	714	1042	1030	1304	734	1157
Kcnf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Gm52116	20	12	10	13	9	5	3	4	14	8	10	8	5	7	2	5	6	9	8	5	19	10	9	8
Gm52117	3	8	1	4	3	2	2	4	6	2	2	3	1	2	2	6	4	2	4	2	4	2	0	3
Gm52114	4	0	0	0	6	2	6	0	6	0	3	0	6	1	5	2	4	0	4	4	4	0	0	4
Gm52115	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm13599	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm52113	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm52110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm52111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13594	7	5	3	3	9	6	4	5	2	3	11	12	2	3	5	6	6	0	0	4	5	0	5	4
Atp6v0e2	3	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	6	9	3	0
Gm13596	0	0	4	4	0	2	5	2	0	3	5	4	2	5	5	4	3	0	2	0	0	4	6	4
Gm52118	23	41	24	74	29	25	9	32	42	29	17	58	35	22	17	49	44	29	19	31	31	17	18	41
Gm52119	0	0	0	0	0	2	6	2	4	0	3	0	0	0	0	0	3	0	0	2	3	0	0	0
Gm19859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mc4r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38930	0	2	0	2	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2
Gm38931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38933	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38935	43	34	22	27	63	21	28	29	75	30	18	31	19	32	25	32	35	41	25	23	60	32	22	18
Gm38937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39041	12	2	0	6	12	4	2	5	8	0	0	5	5	4	2	4	12	4	13	3	9	4	4	7
Gm39040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39044	0	3	2	2	0	0	7	0	1	3	6	0	0	3	8	2	2	3	4	1	0	2	2	6
Gm39049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C330022C24Rik	0	0	1	2	3	0	0	3	0	0	0	0	0	2	0	0	2	0	0	0	0	2	3	0
Il12a	5	10	15	7	18	14	12	7	8	17	18	11	11	10	17	25	7	9	13	9	6	12	12	8
Tiam1	192	169	164	182	226	203	169	230	228	123	171	151	201	143	170	173	200	137	173	164	244	141	182	156
Tiam2	34	26	34	18	41	27	40	39	43	25	44	30	41	30	39	15	21	20	44	23	47	24	38	23
Zfp9	0	4	0	2	8	4	2	7	0	4	4	2	4	0	0	13	4	2	0	6	0	0	4	8
2310075K07Rik	39	33	83	41	34	50	82	42	15	56	88	58	39	64	83	42	33	55	63	63	28	69	77	57
Zfp7	259	394	256	348	226	393	237	389	240	375	245	384	318	298	294	354	206	319	301	324	258	274	337	367
Zfp1	738	1162	1315	964	827	1184	1349	1111	743	1196	1305	1121	1098	1230	1204	1213	956	1364	1280	1047	927	1250	1268	1080
Zfp2	72	106	52	125	77	85	69	150	80	78	66	140	48	90	65	113	69	74	60	63	83	64	47	95
Zfp3	14	45	14	54	22	30	9	34	22	38	10	49	20	14	12	22	18	20	12	21	14	18	8	45
Gm21462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm21466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm21469	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxh1	3	4	0	0	6	0	0	0	6	2	0	2	4	0	0	0	3	2	0	3	4	0	0	0
Itgb1bp1	386	484	316	523	320	542	346	567	425	531	416	586	480	471	465	528	413	535	522	566	354	516	436	593
Itgb1bp2	43	27	18	26	22	40	34	26	31	29	25	39	9	27	39	25	18	22	27	6	27	22	21	30
Toporsl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A530065N20Rik	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0
Odam	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20337	9	10	5	8	8	9	7	12	10	13	5	8	7	7	4	3	16	7	8	11	5	3	2	2
Relt	669	629	670	677	697	661	750	806	680	698	707	829	646	721	737	795	647	781	780	840	664	674	683	728
Reln	0	2	0	4	0	0	0	0	2	3	2	4	0	2	0	0	5	0	0	0	2	0	0	0
Relb	2695	10554	10195	8519	3070	9917	10529	8921	2745	10278	9531	9272	4232	9834	8292	9569	3826	10327	7554	10268	3548	10686	7857	10693
Rela	7671	11028	18618	11286	7658	10701	17832	12137	7060	10463	18574	12006	7972	10937	14333	13991	7964	12169	15063	15223	8153	11429	14788	14637
Gm29958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008P14Rik	508	340	375	219	448	326	358	327	418	400	431	293	580	459	590	382	613	483	571	337	416	500	656	476
Lag3	38	407	1354	147	23	434	1228	155	20	356	998	135	53	1089	2917	372	40	2113	3929	642	54	1449	3238	455
8430429K09Rik	49	106	127	130	77	144	153	132	52	97	134	148	77	113	104	91	56	129	77	120	57	107	122	151
Klk4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Klk6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk8	2690	1776	1067	1947	2662	1958	1118	2182	2478	1980	1058	2219	4226	1738	1185	1706	3545	1955	1141	1887	3087	1722	1228	2316
Klk9	0	3	2	4	0	3	3	2	5	4	1	2	7	3	0	0	3	4	2	3	2	0	0	0
1700034J05Rik	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prr15l	4	6	12	12	9	4	12	7	15	4	7	8	6	4	16	7	5	8	5	0	6	5	4	4
Vmn1r176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcsk1	72	62	93	56	71	63	101	39	47	53	94	54	122	98	179	116	126	116	215	82	128	108	209	137
4930505N22Rik	3	2	0	0	4	3	0	4	0	1	1	3	2	0	0	2	1	0	1	0	4	1	0	3
Vmn1r177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm30589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm30588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm30581	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	0	0
Gm30583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Card14	17	14	0	20	14	18	0	26	17	13	0	32	10	0	2	15	13	6	0	13	13	4	0	12
Gm30585	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
Gm30586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A230057D06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12963	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0
Rfc4	120	175	185	141	138	167	186	153	137	172	202	187	162	158	278	146	149	171	187	111	133	141	224	162
Rchy1	1785	1610	1475	1675	1615	1570	1593	1908	1621	1500	1322	1954	2102	1288	1574	1669	1859	1376	1433	1558	1682	1254	1469	1583
Tmem126a	199	414	902	463	209	464	777	459	167	518	768	513	257	522	751	499	224	566	561	545	221	523	682	567
Tmem126b	62	95	28	111	56	96	30	147	58	120	21	141	75	35	24	90	71	32	27	65	69	33	38	101
Rfc1	1229	1375	1104	1090	1345	1534	1139	1298	1349	1363	1048	1390	1199	1243	1136	1195	1395	1314	1112	1073	1458	1241	1123	1090
Riiad1	7	2	9	4	11	6	0	6	6	6	3	7	11	7	2	5	4	3	4	7	9	11	4	7
Vmn1r178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il4i1b	203	66	62	25	131	67	73	56	102	153	88	120	257	131	112	210	93	98	99	76	132	123	78	69
Gm36386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgbl1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC546061	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	3	3	0	0	0	2	2	0
Gm31988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31989	0	2	2	4	0	4	0	4	4	0	0	4	0	2	4	0	0	4	0	0	2	4	0	4
Gm31986	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Gm31987	7	2	0	6	12	8	6	0	10	6	4	11	17	6	0	13	7	3	2	8	3	0	8	5
Gm31984	0	0	0	0	0	2	0	3	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Gm31985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31981	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abat	11	11	16	9	12	9	10	11	13	6	23	10	15	16	21	15	10	13	15	12	4	3	13	8
Gm39170	4	5	3	13	0	6	0	6	2	4	2	9	0	7	4	5	0	4	0	4	0	3	2	15
Spef1l	0	6	4	0	5	0	5	7	0	0	0	3	0	2	0	7	1	0	6	0	0	7	5	7
Ciao2b	533	680	627	935	422	762	547	915	477	727	564	905	695	497	614	709	617	543	508	744	498	566	525	959
4930404H24Rik	0	2	4	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	2	2	0	0
Gm31678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31679	4	6	3	2	7	4	0	4	7	3	7	2	0	3	6	2	8	2	6	2	2	6	2	5
Gm34894	0	0	0	2	3	0	0	2	4	0	0	2	0	0	0	0	2	0	0	2	2	0	2	2
Gm31671	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Gm31673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm31676	4	0	0	0	2	5	0	3	0	0	0	2	9	0	3	2	2	0	0	2	2	0	4	3
Gm31677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm34000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmkn	0	0	0	0	0	0	0	1	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0
Krcc1	566	1049	744	1177	529	1187	687	1291	639	975	710	1331	557	703	522	909	531	808	440	783	475	780	503	1155
Gm34004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm34006	288	177	42	172	285	159	48	223	295	115	39	249	160	35	16	104	166	85	14	59	219	42	20	63
Gm34007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm34008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Gm38583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38585	0	0	2	0	0	0	1	0	0	2	8	2	2	0	2	3	0	0	8	2	2	0	8	2
Gm38584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm35359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm35358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38588	0	0	2	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0
